t,frame,x,y,yaw,gt_x,gt_y,gt_yaw
9.010,map,2.4000,5.5040,1.6367,2.3962,5.5051,1.6334
9.110,map,2.3970,5.5489,1.6371,2.3934,5.5500,1.6335
9.210,map,2.3941,5.5937,1.6370,2.3906,5.5950,1.6335
9.310,map,2.3911,5.6385,1.6369,2.3878,5.6399,1.6336
9.410,map,2.3882,5.6826,1.6366,2.3849,5.6848,1.6337
9.510,map,2.3852,5.7278,1.6367,2.3821,5.7297,1.6338
9.610,map,2.3822,5.7728,1.6370,2.3793,5.7746,1.6339
9.710,map,2.3793,5.8174,1.6368,2.3764,5.8195,1.6340
9.810,map,2.3763,5.8625,1.6371,2.3736,5.8644,1.6340
9.910,map,2.3733,5.9076,1.6370,2.3707,5.9093,1.6341
10.010,map,2.3703,5.9525,1.6373,2.3679,5.9542,1.6342
10.110,map,2.3673,5.9971,1.6374,2.3650,5.9991,1.6342
10.210,map,2.3644,6.0420,1.6375,2.3622,6.0441,1.6342
10.310,map,2.3613,6.0869,1.6374,2.3593,6.0890,1.6342
10.410,map,2.3583,6.1317,1.6377,2.3565,6.1339,1.6342
10.510,map,2.3554,6.1763,1.6377,2.3536,6.1788,1.6342
10.610,map,2.3524,6.2210,1.6376,2.3508,6.2237,1.6341
10.710,map,2.3494,6.2659,1.6376,2.3479,6.2686,1.6341
10.810,map,2.3463,6.3109,1.6377,2.3451,6.3135,1.6341
10.910,map,2.3433,6.3557,1.6375,2.3422,6.3584,1.6340
11.010,map,2.3403,6.4081,1.6375,2.3394,6.4033,1.6340
11.110,map,2.3373,6.4556,1.6372,2.3366,6.4482,1.6340
11.210,map,2.3344,6.5008,1.6369,2.3337,6.4932,1.6341
11.310,map,2.3314,6.5456,1.6368,2.3309,6.5381,1.6342
11.410,map,2.3284,6.5901,1.6371,2.3280,6.5830,1.6343
11.510,map,2.3255,6.6350,1.6373,2.3252,6.6279,1.6344
11.610,map,2.3225,6.6796,1.6374,2.3223,6.6728,1.6344
11.710,map,2.3195,6.7242,1.6378,2.3194,6.7177,1.6344
